"","순번","시도본부","소방서","119안전센터명","주소","전화번호","lat","long"
"38",38,"서울소방재난본부","성북소방서","종암","서울특별시 성북구 종암로27길 3 (종암동)","02-925-1119","37.602423","127.031747"
"39",39,"서울소방재난본부","성북소방서","돈암","서울특별시 성북구 보문로 192 (삼선동4가)","02-925-1158","37.590988","127.014439"
"40",40,"서울소방재난본부","성북소방서","길음","서울특별시 성북구 정릉로 321 (길음동)","02-987-0272","37.60282","127.019211"
"41",41,"서울소방재난본부","성북소방서","장위","서울특별시 성북구 한천로 640 (장위동)","02-917-0344","37.615617","127.058227"
"42",42,"서울소방재난본부","도봉소방서","방학","서울특별시 도봉구 도봉로 666 (방학동)","02-3492-9113","37.664006","127.043019"
"43",43,"서울소방재난본부","도봉소방서","도봉","서울특별시 도봉구 도봉로 721 (방학동)","02-3492-0119","37.668936","127.043095"
"44",44,"서울소방재난본부","도봉소방서","창동","서울특별시 도봉구 해등로 25 (창동)","02-998-9117","37.646762","127.043735"
"45",45,"서울소방재난본부","도봉소방서","쌍문","서울특별시 도봉구 노해로 152 (쌍문동)","02-996-0119","37.648198","127.026816"
"46",46,"서울소방재난본부","노원소방서","하계","서울특별시 노원구 한글비석로1길 8 (하계동)","02-972-1119","37.638255","127.071107"
"47",47,"서울소방재난본부","노원소방서","상계","서울특별시 노원구 노원로26길 111 (상계동)","02-936-0119","37.655052","127.071625"
"48",48,"서울소방재난본부","노원소방서","공릉","서울특별시 노원구 화랑로 482 (공릉동)","02-976-0119","37.619061","127.080693"
"49",49,"서울소방재난본부","노원소방서","월계","서울특별시 노원구 월계로 323 (월계동)","02-907-0119","37.62881","127.056394"
"50",50,"서울소방재난본부","노원소방서","수락","서울특별시 노원구 동일로 1694 (상계동)","02-937-6119","37.67974","127.055777"
"51",51,"서울소방재난본부","은평소방서","진관","서울특별시 은평구 통일로 962(진관동)","02-354-0119","37.628991","126.919945"
"52",52,"서울소방재난본부","은평소방서","녹번","서울특별시 은평구 은평로 245 (녹번동)","02-387-0119","37.601105","126.935146"
"53",53,"서울소방재난본부","은평소방서","역촌","서울특별시 은평구 갈현로 80 (역촌동)","02-352-2119","37.604991","126.91067"
"54",54,"서울소방재난본부","은평소방서","수색","서울특별시 은평구 수색로 294 (수색동)","02-376-0119","37.58407","126.892144"
"55",55,"서울소방재난본부","서대문소방서","서대문_연희","서울특별시 서대문구 연희로 182 (연희동)","02-336-0119","37.573205","126.935996"
"56",56,"서울소방재난본부","서대문소방서","북가좌","서울특별시 서대문구 증가로 242 (북가좌동)","02-372-0119","37.582864","126.913004"
"57",57,"서울소방재난본부","서대문소방서","홍은","서울특별시 서대문구 홍은중앙로 83 (홍은동)","02-379-9119","37.598723","126.947029"
"58",58,"서울소방재난본부","서대문소방서","미근","서울특별시 서대문구 통일로 113 (미근동)","02-3147-0119","37.564787","126.967086"
"59",59,"서울소방재난본부","마포소방서","신수","서울특별시 마포구 창전로 76 (신수동)","02-716--9121","37.549373","126.933178"
"60",60,"서울소방재난본부","마포소방서","염리","서울특별시 마포구 토정로 37길 27 (염리동)","02-713-0965","37.541734","126.945573"
"61",61,"서울소방재난본부","마포소방서","서교","서울특별시 마포구 양화로 60 (서교동)","02-3143-2119","37.550285","126.915544"
"62",62,"서울소방재난본부","마포소방서","마포_성산","서울특별시 마포구 월드컵북로 240 (성산동)","02-304-0119","37.570609","126.903058"
"63",63,"서울소방재난본부","마포소방서","공덕","서울특별시 마포구 만리재옛길 82 (공덕동)","02-3274-0976","37.550049","126.959767"
"64",64,"서울소방재난본부","마포소방서","상암","서울특별시 마포구 월드컵북로 42길 34 (상암동)","02-309-5119","37.576093","126.899408"
"65",65,"서울소방재난본부","강남소방서","강남_삼성","서울특별시 강남구 테헤란로 629 (삼성동)","02-567-0119","37.510279","127.06683"
"66",66,"서울소방재난본부","강남소방서","영동","서울특별시 강남구 도산대로 320 (논현동)","02-517-5119","37.522143","127.036934"
"67",67,"서울소방재난본부","강남소방서","역삼","서울특별시 강남구 역삼로 236 (역삼동)","02-557-0109","37.49713","127.042447"
"68",68,"서울소방재난본부","강남소방서","수서","서울특별시 강남구 광평로31길 6 (수서동)","02-445-9019","37.484927","127.092842"
"69",69,"서울소방재난본부","강남소방서","개포","서울특별시 강남구 논현로 10길 19 (개포동)","02-577-2540","37.4747","127.049895"
"70",70,"서울소방재난본부","서초소방서","반포","서울특별시 서초구 사평대로 67 (반포동)","02-534-0119","37.49845","126.991933"
"71",71,"서울소방재난본부","서초소방서","방배","서울특별시 서초구 남부순환로 2155 (방배동)","02-582-0119","37.4755","126.98821"
"72",72,"서울소방재난본부","서초소방서","양재","서울특별시 서초구 동산로 9 (양재동)","02-572-5523","37.469463","127.040825"
"73",73,"서울소방재난본부","서초소방서","서초","서울특별시 서초구 효령로 400 (서초동)","02-3473-0119","37.488032","127.027597"
"74",74,"서울소방재난본부","서초소방서","잠원","서울특별시 서초구 서초중앙로29길 6 (반포동)","02-532-7119","37.499072","127.011601"
"75",75,"서울소방재난본부","서초소방서","우면","서울특별시 서초구 남부순환로340길 49 (서초동)","02-522-6119","37.479576","127.021885"
"76",76,"서울소방재난본부","관악소방서","관악","서울특별시 관악구 관악로 97 (봉천동)","02-874-7119","37.473646","126.95249"
"77",77,"서울소방재난본부","관악소방서","봉천","서울특별시 관악구 은천로 54 (봉천동)","02-886-0119","37.485949","126.941114"
"78",78,"서울소방재난본부","관악소방서","관악_신림","서울특별시 관악구 봉천로 202 (신림동)","02-874-0119","37.489633","126.923987"
"79",79,"서울소방재난본부","관악소방서","난곡","서울특별시 관악구 난곡로 243 (신림동)","02-859-0119","37.47569","126.91607"
"80",80,"서울소방재난본부","동작소방서","동작","서울특별시 동작구 여의대방로16길 55(신대방동)","02-848-1088","37.494672","126.917719"
"81",81,"서울소방재난본부","동작소방서","노량진","서울특별시 동작구 노량진로 187 (노량진동)","02-813-0119","37.51367","126.946944"
"82",82,"서울소방재난본부","동작소방서","상도","서울특별시 동작구 국사봉1길 17 (상도동)","02-821-1119","37.49904","126.929475"
"83",83,"서울소방재난본부","동작소방서","동작_백운","서울특별시 동작구 사당로 63 (상도동)","02-817-0119","37.494802","126.96159"
"84",84,"서울소방재난본부","강서소방서_서울","등촌","서울특별시 강서구 양천로 550 (등촌동)","02-3662-9119","37.558246","126.860047"
"85",85,"서울소방재난본부","강서소방서_서울","화곡","서울특별시 강서구 까치산로 49 (화곡동)","02-2602-0119","37.543665","126.845224"
"86",86,"서울소방재난본부","강서소방서_서울","발산","서울특별시 강서구 강서로 329 (내발산동)","02-2663-0119","37.555261","126.836861"
"87",87,"서울소방재난본부","강서소방서_서울","방화","서울특별시 강서구 금낭화로26길 10 (방화동)","02-2665-3115","37.579794","126.814282"
"88",88,"서울소방재난본부","강서소방서_서울","개화","서울특별시 강서구 개화동로19길 8 (개화동)","02-2662-7119","37.575","126.803146"
"89",89,"서울소방재난본부","양천소방서","양천","서울특별시 양천구 목동서로 180 (목동)","02-2643-4119","37.530236","126.872342"
"90",90,"서울소방재난본부","양천소방서","양천_신정","서울특별시 양천구 신월로 268 (신정동)","02-2603-0119","37.521776","126.850956"
"91",91,"서울소방재난본부","양천소방서","목동","서울특별시 양천구 안양천로 1139 (목동)","02-2249-0119","37.542778","126.883553"
"92",92,"서울소방재난본부","양천소방서","양천_신월","서울특별시 양천구 남부순환로 448 (신월동)","02-2691-4119","37.527926","126.833085"
"93",93,"서울소방재난본부","양천소방서","신트리","서울특별시 양천구 신정로 238 (신정동)","02-2691-1113","37.51061","126.847985"
"94",94,"서울소방재난본부","강동소방서","성내","서울특별시 강동구 성내로 39 (성내동)","02-470-1720","37.529292","127.12497"
"95",95,"서울소방재난본부","강동소방서","천호","서울특별시 강동구 진황도로 37 (천호동)","02-474-1721","37.53862","127.13137"
"96",96,"서울소방재난본부","강동소방서","강동_고덕","서울특별시 강동구 양재대로156길 133 (고덕동)","02-426-0431","37.55718","127.152008"
"97",97,"서울소방재난본부","강동소방서","암사","서울특별시 강동구 올림픽로 815 (암사동)","02-429-0427","37.553989","127.128636"
"98",98,"서울소방재난본부","강동소방서","길동","서울특별시 강동구 천중로 215 (길동)","02-487-6119","37.540977","127.144353"
"99",99,"서울소방재난본부","송파소방서","마천","서울특별시 송파구 오금로51길 56 (마천동)","02-3401-2119","37.499833","127.142592"
"100",100,"서울소방재난본부","송파소방서","거여","서울특별시 송파구 마천로 329 (마천동)","02-400-0119","37.494163","127.151828"
"101",101,"서울소방재난본부","송파소방서","방이","서울특별시 송파구 강동대로 286 (방이동)","02-409-0059","37.519785","127.136572"
"102",102,"서울소방재난본부","송파소방서","잠실","서울특별시 송파구 석촌호수로 151 (잠실동)","02-422-0119","37.507316","127.093893"
"103",103,"서울소방재난본부","송파소방서","운동장","서울특별시 송파구 올림픽로 25 (잠실동)","02-2203-2380","37.51346","127.076571"
"104",104,"서울소방재난본부","송파소방서","가락","서울특별시 송파구 양재대로 932 (가락동)","02-409-0045","37.491267","127.11198"
"105",105,"서울소방재난본부","구로소방서","고일","서울특별시 구로구 경인로 408 (고척동)","02-2619-0119","37.497958","126.865625"
"106",106,"서울소방재난본부","구로소방서","수궁","서울특별시 구로구 오리로 1285 (궁동)","02-2685-6119","37.496264","126.829543"
"107",107,"서울소방재난본부","구로소방서","고척","서울특별시 구로구 고척로 195 (고척동)","02-2618-3104","37.504929","126.854865"
"108",108,"서울소방재난본부","구로소방서","구로","서울특별시 구로구 구로동로 175 (구로동)","02-855-1119","37.494227","126.882548"
"109",109,"서울소방재난본부","구로소방서","독산","서울특별시 금천구 시흥대로 386 (독산동)","02-869-1119","37.467895","126.898274"
"110",110,"서울소방재난본부","구로소방서","구로_시흥","서울특별시 금천구 시흥대로45길 31 (시흥동)","02-806-1119","37.448548","126.900483"
"111",111,"서울소방재난본부","구로소방서","신도림","서울특별시 구로구 경인로59길 57 (신도림동)","02-2671-8119","37.507324","126.881213"
"112",112,"서울소방재난본부","구로소방서","구로_공단","서울특별시 구로구 디지털로34길 56 (구로동)","02-855-0119","37.484225","126.898433"
"113",113,"서울소방재난본부","강북소방서_서울","번동","서울 강북구 한천로 911","02-6946-0250","37.633051","127.038181"
"114",114,"서울소방재난본부","강북소방서_서울","우이","서울특별시 강북구 삼각산로 111 (수유동)","02-998-9116","37.640895","127.016545"
"115",115,"서울소방재난본부","강북소방서_서울","미아","서울특별시 강북구 도봉로 125 (미아동)","02-983-9111","37.620022","127.028295"
"116",116,"서울소방재난본부","강북소방서_서울","삼각산","서울특별시 강북구 솔샘로 208 (미아동)","02-983-5119","37.619862","127.015503"
"117",117,"부산소방안전본부","중부소방서_부산","중부(부산)_중앙","부산광역시 중구 중앙대로 110(중앙동4가)","051-760-6111","35.10721","129.036646"
"118",118,"부산소방안전본부","중부소방서_부산","부민","부산광역시 서구 임시수도기념로 21-4(부민동3가)","051-760-6121","35.10323","129.018593"
"119",119,"부산소방안전본부","중부소방서_부산","충무","부산광역시 서구 충무대로 186(남부민동)","051-760-6131","35.08711","129.024783"
"120",120,"부산소방안전본부","중부소방서_부산","창선","부산광역시 중구 대청로 68-1(부평동)","051-760-6141","35.102848","129.027344"
"121",121,"부산소방안전본부","중부소방서_부산","초량","부산광역시 동구 중앙대로 260번길 7-3(초량동)","051-760-6151","35.119649","129.043269"
"122",122,"부산소방안전본부","부산진소방서","범일","부산광역시 동구 범일로 115(범일동)","051-760-6211","35.140432","129.059044"
"123",123,"부산소방안전본부","부산진소방서","부전","부산광역시 부산진구 서전로 43(전포동)","051-760-6221","35.158178","129.064618"
"124",124,"부산소방안전본부","부산진소방서","수정","부산광역시 동구 중앙대로 383-1(수정동)","051-760-6231","35.129613","129.049216"
"125",125,"부산소방안전본부","부산진소방서","부산진_가야","부산광역시 부산진구 가야대로 627(가야동)","051-760-6241","35.15575","129.04039"
"126",126,"부산소방안전본부","부산진소방서","부암","부산광역시 부산진구 신천대로 282(부암동)","051-760-6251","35.166904","129.050729"
"127",127,"부산소방안전본부","부산진소방서","당감","부산광역시 부산진구 백양산로53번길 65(당감동)","051-760-6261","35.171689","129.028526"
"128",128,"부산소방안전본부","동래소방서","동래_연산","부산광역시 연제구 고분로 216(연산동)","051-760-6311","35.184247","129.106095"
"129",129,"부산소방안전본부","동래소방서","수안","부산광역시 동래구 명륜로45번길 7(수안동)","051-760-6321","35.198151","129.083814"
"130",130,"부산소방안전본부","동래소방서","온천","부산광역시 동래구 우장춘로 196(온천동)","051-760-6331","35.223263","129.077604"
"131",131,"부산소방안전본부","동래소방서","양정","부산광역시 부산진구 연제로9번길 42(양정동)","051-760-6341","35.17539","129.075896"
"132",132,"부산소방안전본부","동래소방서","동래_사직","부산광역시 동래구 체육공원로 74(사직동)","051-760-6351","35.194662","129.059243"
"133",133,"부산소방안전본부","북부소방서_부산","삼락","부산광역시 사상구 삼덕로 17(삼락동)","051-760-6411","35.174526","128.978757"
"134",134,"부산소방안전본부","북부소방서_부산","감전","부산광역시 사상구 가야대로 41(감전동)","051-760-6421","35.151862","128.977391"
"135",135,"부산소방안전본부","북부소방서_부산","구포","부산광역시 북구 만덕대로 31(덕천동)","051-760-6431","35.211146","129.008364"
"136",136,"부산소방안전본부","북부소방서_부산","화명","부산광역시 북구 금곡대로 184(화명동)","051-760-6441","35.22527","129.01031"
"137",137,"부산소방안전본부","북부소방서_부산","주례","부산광역시 사상구 양지로22번길 7(주례동)","051-760-6451","35.154075","129.004149"
"138",138,"부산소방안전본부","북부소방서_부산","모라","부산광역시 사상구 백양대로 950(모라동)","051-760-6461","35.190978","128.99226"
"139",139,"부산소방안전본부","북부소방서_부산","학장","부산광역시 사상구 학감대로 89(학장동)","051-760-6471","35.139678","128.990454"
"140",140,"부산소방안전본부","북부소방서_부산","금곡","부산광역시 북구 금곡대로616번길 151(금곡동)","051-760-6491","35.267272","129.017666"
"141",141,"부산소방안전본부","북부소방서_부산","만덕","부산광역시 북구 함박봉로 142(만덕동)","051-760-6441","35.204809","129.033189"
"142",142,"부산소방안전본부","사하소방서","사하_신평","부산광역시 사하구 장평로 270(신평동)","051-760-6511","35.089982","128.973846"
"143",143,"부산소방안전본부","사하소방서","괴정","부산광역시 사하구 낙동대로 262(괴정동)","051-760-6521","35.099421","128.988383"
"144",144,"부산소방안전본부","사하소방서","하단","부산광역시 사하구 낙동남로 1407(하단동)","051-760-6431","35.106524","128.965591"
"145",145,"부산소방안전본부","사하소방서","다대","부산광역시 사하구 다대로 622(다대동)","051-760-6541","35.051179","128.97037"
"146",146,"부산소방안전본부","사하소방서","감천","부산광역시 사하구 원양로 405(감천동)","051-760-6551","35.086301","129.004796"
"147",147,"부산소방안전본부","해운대소방서","우동","부산광역시 해운대구 해운대해변로 106(우동)","051-760-6611","35.15956","129.143703"
"148",148,"부산소방안전본부","해운대소방서","해운대_중동","부산광역시 해운대구 달맞이길 117번길 72(중동)","051-760-6621","35.160683","129.17585"
"149",149,"부산소방안전본부","해운대소방서","반여","부산광역시 해운대구 선수촌로 21번길 64(반여동)","051-760-6631","35.197522","129.11781"
"150",150,"부산소방안전본부","해운대소방서","좌동","부산광역시 해운대구 대천로 67번길 35(좌동)","051-760-6641","35.173646","129.166472"
"151",151,"부산소방안전본부","해운대소방서","센텀","부산광역시 해운대구 센텀동로 50(우동)","051-760-6651","35.173761","129.130799"
"152",152,"부산소방안전본부","금정소방서","금정_부곡","부산광역시 금정구 중앙대로 1789(부곡동)","051-760-6711","35.243881","129.092379"
"153",153,"부산소방안전본부","금정소방서","서동","부산광역시 동래구 반송로 331(명장동)","051-760-6721","35.20903","129.103304"
"154",154,"부산소방안전본부","금정소방서","금정_남산","부산광역시 금정구 두실로 46(남산동)","051-760-6731","35.261428","129.086885"
"155",155,"부산소방안전본부","금정소방서","반송","부산광역시 해운대구 아랫반송로 10(반송동)","051-760-6741","35.225382","129.146992"
"156",156,"부산소방안전본부","금정소방서","산성산악","부산광역시 금정구 산성로 396(금성동)","051-760-6751","35.250905","129.050675"
"157",157,"부산소방안전본부","남부소방서_부산","광안","부산광역시 수영구 광일로 64(광안동)","051-760-6811","35.163161","129.107042"
"158",158,"부산소방안전본부","남부소방서_부산","감만","부산광역시 남구 우암로 81(감만동)","051-760-6821","35.117717","129.080533"
"159",159,"부산소방안전본부","남부소방서_부산","대연","부산광역시 남구 수영로 279(대연동)","051-760-6831","35.13622","129.097029"
"160",160,"부산소방안전본부","남부소방서_부산","망미","부산광역시 수영구 과정로55번길 16(망미동)","051-760-6841","35.176336","129.106417"
"161",161,"부산소방안전본부","남부소방서_부산","용당","부산광역시 남구 신선로 398(용당동)","051-760-6851","35.120656","129.098631"
"162",162,"부산소방안전본부","강서소방서_부산","녹산","부산광역시 강서구 녹산산단361로 9(송정동)","051-760-6011","35.089597","128.856794"
"163",163,"부산소방안전본부","강서소방서_부산","신호","부산광역시 강서구 신호산단4로 62(신호동)","051-760-6021","35.085481","128.879555"
"164",164,"부산소방안전본부","강서소방서_부산","대저","부산광역시 강서구 대저로221번길 25(대저동)","051-760-6031","35.21569","128.976878"
"165",165,"부산소방안전본부","강서소방서_부산","강동","부산광역시 강서구 제도로 696(강동동)","051-760-6041","35.174774","128.916035"
"166",166,"부산소방안전본부","강서소방서_부산","지사","부산광역시 강서구 과학산단로 333번길 3(지사동)","051-760-6051","35.1486","128.833205"
"167",167,"부산소방안전본부","기장소방서","정관","부산광역시 기장군 정관면 용수로 7(정관읍)","051-760-5411","35.324818","129.1799"
"168",168,"부산소방안전본부","기장소방서","기장","부산광역시 기장군 기장읍 차성동로 5번길 16(기장읍)","051-760-5421","35.238555","129.215523"
"169",169,"부산소방안전본부","기장소방서","기장_송정","부산광역시 해운대구 송정중앙로 15번길 16(송정동)","051-760-5431","35.183814","129.203029"
"170",170,"부산소방안전본부","기장소방서","장안","부산광역시 기장군 장안산단 3로 43(장안읍)","051-760-5441","35.333035","129.263278"
"171",171,"부산소방안전본부","항만소방서","동삼","부산광역시 영도구 해양로 297(동삼동)","051-760-6911","35.081788","129.076864"
"172",172,"부산소방안전본부","항만소방서","영선","부산광역시 영도구 태종로 115(영선동)","051-760-6921","35.091067","129.043328"
"173",173,"부산소방안전본부","항만소방서","부두","부산광역시 동구 충장대로 236(좌천동)","051-760-6931","35.122615","129.048214"
"174",174,"부산소방안전본부","항만소방서","항만_청학","부산광역시 영도구 태종로 274(청학동)","051-760-6941","35.098146","129.056583"
"175",175,"대구소방안전본부","중부소방서_대구","남산","대구광역시 중구 달구벌대로 1926","053-601-4571","35.862202","128.575241"
"176",176,"대구소방안전본부","중부소방서_대구","서문로","대구광역시 중구 경상감영길 45","053-601-4572","35.871573","128.589982"
"177",177,"대구소방안전본부","중부소방서_대구","대신","대구광역시 중구 큰장로26길 45","053-601-4574","35.868907","128.580772"
"178",178,"대구소방안전본부","중부소방서_대구","삼덕","대구광역시 중구 공평로 35","053-601-4575","35.867189","128.599669"
"179",179,"대구소방안전본부","중부소방서_대구","명덕","대구광역시 남구 명덕로34길 22","053-601-4577","35.855519","128.587201"
"180",180,"대구소방안전본부","중부소방서_대구","봉덕","대구광역시 남구 희망로3길 29","053-601-4573","35.849025","128.599284"
"181",181,"대구소방안전본부","중부소방서_대구","대명","대구광역시 남구 현충로15길 21-81","053-601-4576","35.837386","128.579056"
"182",182,"대구소방안전본부","중부소방서_대구","성명","대구광역시 남구 대명남로 12-1","053-601-4578","35.833398","128.560147"
"183",183,"대구소방안전본부","동부소방서_대구","신천","대구광역시 동구 동대구로 507","053-605-5320","35.875987","128.625223"
"184",184,"대구소방안전본부","동부소방서_대구","동촌","대구광역시 동구 해동로 180","053-605-5330","35.88671","128.648444"
"185",185,"대구소방안전본부","동부소방서_대구","안심","대구광역시 동구 반야월로 291","053-605-5340","35.872214","128.720409"
"186",186,"대구소방안전본부","동부소방서_대구","불로","대구광역시 동구 팔공로50길 19","053-605-5350","35.921995","128.643942"
"187",187,"대구소방안전본부","동부소방서_대구","공산","대구광역시 동구 팔공산로 1579","053-605-5360","35.962771","128.697732"
"188",188,"대구소방안전본부","동부소방서_대구","율하","대구광역시 동구 율하동로8길 5","053-605-5370","35.862098","128.701949"
"189",189,"대구소방안전본부","서부소방서_대구","평리","대구광역시 서구 달서천로 186","053-320-4492","35.881875","128.554386"
"190",190,"대구소방안전본부","서부소방서_대구","읍내","대구광역시 북구 칠곡중앙대로 570","053-321-0119","35.946492","128.551501"
"191",191,"대구소방안전본부","서부소방서_대구","이현","대구광역시 서구 국채보상로 119","053-552-0119","35.869081","128.544139"
"192",192,"대구소방안전본부","서부소방서_대구","비산","대구광역시 서구 달서로 206","053-566-0119","35.880454","128.572018"
"193",193,"대구소방안전본부","서부소방서_대구","태전","대구광역시 북구 칠곡중앙대로 184","053-312-0119","35.912352","128.548841"
"194",194,"대구소방안전본부","서부소방서_대구","내당","대구광역시 서구 서대구로3길 16","053-557-0119","35.859437","128.555263"
"195",195,"대구소방안전본부","서부소방서_대구","동천","대구광역시 북구 구암로 155","053-325-0119","35.931917","128.557806"
"196",196,"대구소방안전본부","북부소방서_대구","칠성","대구광역시 북구 칠성남로 112","053-350-5720","35.878002","128.592314"
"197",197,"대구소방안전본부","북부소방서_대구","침산","대구광역시 북구 침산남로 149","053-350-5740","35.888358","128.592262"
"198",198,"대구소방안전본부","북부소방서_대구","노원","대구광역시 북구 노원로 42","053-350-5750","35.89215","128.567391"
"199",199,"대구소방안전본부","북부소방서_대구","대현","대구광역시 북구 대현로 105","053-350-5770","35.882427","128.610632"
"200",200,"대구소방안전본부","북부소방서_대구","복현","대구광역시 북구 동북로 245","053-350-5760","35.895413","128.618202"
"201",201,"대구소방안전본부","북부소방서_대구","무태","대구광역시 북구 호국로43길 21","053-350-5780","35.920929","128.596895"
"202",202,"대구소방안전본부","북부소방서_대구","산격","대구광역시 북구 유통단지로8길 88","053-350-5790","35.906114","128.614261"
"203",203,"대구소방안전본부","수성소방서","범물","대구광역시 수성구 청호로 87","053-780-5261","35.82547","128.644226"
"204",204,"대구소방안전본부","수성소방서","만촌","대구광역시 수성구 달구벌대로 2658","053-752-0119","35.855336","128.652109"
"205",205,"대구소방안전본부","수성소방서","황금","대구광역시 수성구 동대구로12길 41","053-764-0119","35.835493","128.626434"
"206",206,"대구소방안전본부","수성소방서","상동","대구광역시 수성구 파동로51길 5","053-765-0119","35.825095","128.609376"
"207",207,"대구소방안전본부","수성소방서","수성","대구광역시 수성구 들안로60길 30","053-741-2119","35.856791","128.620896"
"208",208,"대구소방안전본부","수성소방서","고산","대구광역시 수성구 고산로 105","053-791-7119","35.840206","128.704479"
"209",209,"대구소방안전본부","수성소방서","무열로","대구광역시 수성구 무열로 139","053-741-0119","35.870734","128.648155"
